tweet_preprocessed;label
organisasi rawan bravo deklarasi dukung cagubcawagub jakarta nomor urut bang wih mantab;Positif
dukung terus kondomokurita papua selatan lebih maju sejahtera;Positif
stunting jakarta data mana;Negatif
pramono anung komitmen daya perempuan pasar minggu beri dukung dagang perempuan harap tingkat partisipasi ekonomi kuat posisi masyarakat;Positif
surprising informasi tiktok kait debat pilgub dki semalem nyata lebih lengkap banding twitter tanya de chatgpt fitur baru drone emprit guna api chatgpt proses data kumpul tanya ide muncul;Netral
solusi apung jawab layang tanya;Positif
pramono anung terus gerak sosial masyarakat kali gowes dialog bareng komunitas sepeda;Positif
waktu habis jadi tanya;Netral
pramono anung selalu tempat masyarakat jakarta prioritas rencana kuat hubung masyarakat ikon wisata upaya cipta komunitas lebih solid saling dukung;Positif
gaya bang doel kampanye sangat komunikatif riang gembira lama hidup jakarta sangat paham karakter warga jakarta gaya bahasa canda betawi warna kampanye bang doel heran warga kampung jakarta banyak mendungkung bang doel;Positif
sapa warga cipete selatan pramono anung tunjuk pimpin dengar aspirasi masyarakat rencana baik salur air bangun sumur resap bukti siap kerja keras jakarta;Positif
lebih penting dukung doa spirit energi ;Positif
ngomongin buka lapang kerja baru bikin presentasi pake ai;Netral
iki ngece popiye juang panjang gemess sukses mas pram jadi gubernur dkj;Positif
pramono anung tunjuk komitmen daya warga mang jakarta dekat humanis beliau janji mudah izin usaha contoh nyata pimpin dengar aspirasi masyarakat;Positif
pokok kait banyuwangi turun banyuwangi jakarta semua pilih pramono bang doel;Positif
debat perdana pilgub dki bang doel perlu ijazah sma lulus jadi ppsu;Negatif
papar visi misi paslon nomor urut dharma pongrekunkun wardana tekan perlu adab pondasi wujud adil sosial tuju kota global;Positif
mantab nih pasang no;Positif
aamiin menang satu putar;Positif
debat buka cagubcawagub jateng segera gelar pasti kamu saksi paham visi misi calon tentu pilih bijak;Positif
hasil debat sebut realisasi lampung cinta;Positif
buat warga jakarta jangan pertaruihkan nasib tahun depan pilih ridwan kamil suswono jelas mampu pimpin punya alam;Positif
nyook warga jakarta dukung nomor datang berrrrramairrrramai stadion madya gbk sabtu jam pagi kejut buat kalian;Positif
acara mata najwa anies bawesdan ahok kasih respon kejut;Positif
dki gak butuh cagub suka beda pake lipgloss  big no haqqul yaqin yess;Negatif
dukung mas bang doel terus alir;Positif
pramono anung takut inovasi bijak publik rencana kuat pasu oranye bangun sumur resap tunjuk berani ambil langkahlangkah perlu sejahtera jakarta;Positif
makanya coblos no buat;Positif
mas pram bang doel ngopi rumah abah danbu lah dalang semua ceria ngopi hari mantap hangat hepi;Positif
program dp rumah nol persen anies ragu hihihi pake duit sandi kalo cukup kalo;Negatif
tjatur ma agus beri performansi bagus tonton demokrasi cantik;Positif
siswa dki biaya rp naik angkot iya iya angkot nya dilemparin batu kalo kalah main bola;Negatif
paslon gubernur dki jakarta nomor urut ridwan kamilsuswono sampai visi misi debat tiga pilgub dki jakarta dua beri adil warga dki jakarta salah satu hadir program renovasi rumah simak video lengkap youtube;Positif
yuk bangun djakarta lebih baik pilih pimpin bijak tgl pilih pasang nomor;Positif
hari tuju pilkada makin nyala;Positif
moderator kurang nendang;Negatif
jkt acu indonesia niih prinsip henti reklamasi paslon;Positif
lihat hasil siapa pilih;Netral
debat tiga jadi ajang ahok anies gerus suara agus;Positif
pak bibit grogi dluan diskak panelis padahal tanya umum pak bibit gak jwb tan;Negatif
calon gubernur dki jakarta pramono anung laku silaturahmi tokoh masyarakat cengkareng hilton garden inn jakarta taman palem cengkareng barat jakarta barat pramono anung rano karno makin nyala;Positif
ayoo anak muda ngaku milenial tok gabung sama mas pram ba g doel tunggu hadir sini anti golput;Positif
alas calon dateng debat lebih baik sama braya debatcagub aku anak debat jadi trsinggung p;Negatif
jakarta nyala mas pak bang doel satu;Positif
mas pram bang doel lanjut program contract farming alias tani kontrak belum gagas mantan gubernur anies baswedan unmag jepang malam jumat;Positif
nyimak;Netral
silvi anies waktu habis cewe selalu benar selalu erti peka dong;Negatif
debat pilgub sumut seru lebih seru debat pilgub dki paslon no bobby banyak nyerang kena tackling paslon no skor sama;Positif
paslon onoh gak kek mas prambang doel ahoker anak abah satu dukung paslon no masa depan jakarta suzuki jepun arab kevin dick arhan garuda nathan lisa jakarta bahrain asia rcti;Positif
antasari azhar acung jari dukung ahok jadi gubernur antasari;Positif
anies baswedan mas pram bang doel satu kayak pilgub dki jakarta putar mas pram bang doel auto menang ini buat kubu belah makin panik;Positif
bahasa lain lau cuma kurator aing panitia;Negatif
seru debat pilgub dki cuu lebih bobot akwowk;Positif
renovasi pasar minggu rencana pramono anung perhati aspek sehat masyarakat cipta lingkung bersih atur upaya minimal risiko sakit tular area publik;Positif
paslon cagub cawagub nomor urut dharma kun sampai visi misi program kerja proker jakarta pilih jadi gubernur wakil gubernur jakarta;Positif
bareng bang sahrin markas komando warga kawal tps;Positif
meski pwm jakarta beri bebas warga pilih dukung muncul langsung tunjuk pramono anung kandidat banyak harap;Positif
hostnyakeceplosan manggil mas cagub jateng no;Negatif
beda jelas banget pramono anung doel genggam rakyat rk sus penting partai kimplus tum banyak banget;Positif
ahy rumah geser;Netral
debat ahokdjarot aniessandi dominasi panggung atraktif;Positif
siap nonton debat pilkada jakarta;Positif
bang doel baik ;Positif
ga nonton debatcagub malam ga tahu benar bicara hmm inspirasi zionis israel obrakabrik alaqsha nih;Negatif
tampak panggung debat akhir cagub dki;Netral
tinggal;Positif
orolan gizi asa depan jakarta tangan pramono rano karno;Positif
salah data kok bilang cerdas;Negatif
mantap mas bang doel padoel forum komunikasi anak betawi nyata sikap dukung padoel;Positif
garis ditorehkankalian usaha hapus lawan semesta;Positif
waah mantep pis;Positif
paslon jawab gimana awal uang mrw;Netral
kok ga seru ketawa sih;Negatif
siapa cagub paling memeable malam hehe;Positif
janji suci warga jakarta;Positif
bu silpi baca puisi pak anis ga ngerti;Negatif
wujud sedia air bersih jakarta calon gubernur jakarta pramono anung target pipanisasi selesai capai persen mantab tel aviv lemet antony dian sastrowardoyo;Positif
cek fakta peringkat kemdikbud era anies memang benar peringkat sembilan via paslon;Netral
taktik ato trik tanya paslon paslon serang no memang pintar main kata;Positif
pastika adi wiryatama tetap undang;Positif
dukung ahokdjarot leseh depan rumah lembang;Positif
ngetes masuk ga hai nonton;Netral
ndelok wong du nang ndukur panggung;Netral
kpu dki siap format baru debat cagub lanjut;Positif
baru tjadas bicara dasar data fakta jossss;Positif
efek domino politik riang gembira mas bang doel pram doel pilkada jakarta;Positif
momen anies baswedan tertawa lepas ngopi bareng pramono anungrano karno ngobrol soal kota jakarta masa depan bismillah satu putar;Positif
mas pram bang doel paling cocok layan warga jakarta pramdol mnang senin banteng wendy goty semi private prilly carok psht dian sastrowardoyo ppn sub indo;Positif
pramono anung rano karno hadir silaturahmi rawan bravo lima sekretariat bravo lima kayu putih jaktim jumat acara konsolidasi dialog rawan menang pasang mas pram bang doel pilkada jakarta;Positif
tak nonton debat pilgub jakarta anies lebih pilih nonton konser jhon legend mantan gubernur dki jakarta anies baswedan putus saksi debat perdana pilkada jakarta langsung jiexpo;Negatif
mas pram forum bedah buku visi misi gubernur jakarta siang nov univ negeri jakarta rawamangun;Positif
tanggap sub tema lingkung kota ubah iklim calon gubernur jakarta nomor urut ridwan kamil sebut dialog kolaborasi kunci wujud visi misi tahun depan;Positif
dukung rantau mang bantu satu bagai etnis jakarta percaya pramono anung pimpin bijaksana inklusivitas;Positif
sedia produsen industri pipa jakarta mas yakin program capai lebih cepat target tentu atur;Positif
dukung pramono anung rantau mang dorong partisipasi warga proses bangun jakarta percaya suara penting maju sama;Positif
siap adu gagas ikut jadwal debat pilkada jakarta;Positif
pramono anung selalu hasil cipta momenmomen harga edukasi hibur masyarakat mampu komunikasi buat semua orang rasa libat;Positif
nyata anak kandung alm bang benyamin sueb anak sinetron satu cagub cawagub no mas pram bang doel bismillahirrahmanirrahim buat makin nyala viral;Positif
pilgub dki anies menang dukung besar debat pilpres anies nilai layak jadi presiden;Positif
kembali ira koesno;Netral
moga debat depat cagub sekrang bukan debat kusir;Negatif
kampus jadi saksi mas pram bawa visi jakarta nyala unj siap buat jakarta sukses dunia coblos nomor;Positif
hayoo maenkan;Positif
pasang luguada pasang cerdasada pasang angkuh ceramah;Positif
cuma pramono anung rano si doel satu warga jakarta satu jakarta pramdoel mnang wendy anies jepang;Netral
topik berita online rano topik tinggi soal rano pilkada jakarta rano karno pramono dki jakarta pilgub jakarta tanah abang ridwan kamil rk debat momen banten;Positif
pilkada serentak tinggal hitung hari sudah nama aman suara paslon pilih pilkada riang gembira pilkada jurdil yati tom lembong gonggong rokok jungsomin ppn;Positif
ribu buruh bongkar muat biasa sebut tenaga kerja bongkar muat tkbm labuh tanjung priok jakarta utara deklarasi dukung mas pram bang doel mantap;Netral
elektabilitas cagub dki rksuswono unggul puncak susul pramonorano dharmakun siapa pimpin jakarta;Positif
rantau mang komitmen dorong inovasi jakarta dukung pramono anung cermin harap maju kembang lebih baik;Negatif
mas agus tolak jawab tanya kalah;Negatif
mas pram sedang dengar keluh orang guru paud rawa simprug bangun tempat ajar nyaris ambruk bocor sanasini;Positif
sejarah kelam paling brutal pilgub dki abud vs ahok agama bawa debat p;Negatif
pmj mayoritas warga muhammadiyah jakarta solid dukung pramono doel pasang pramono doel anggap mampu wakil aspirasi nilainilai jalan muhammadiyah utama kait agam bangun berkelanjuta;Positif
wow angkat benerbener habis bahan fitnah;Netral
rantau mang tunjuk komitmen kuat bangun jakarta sama pramono anung percaya kolaborasi kunci capai tuju sama;Positif
tampak sama mirip beda;Netral
mantap ahokers anak abah solid lawan koalisi gemuk kang emil jakarta rela pimpin orang pernah memfitna persija  pramdoel mnang satu putar;Negatif
anies unggah momen tertawa lepas temu pramonorano pagi jakarta pasang calon pilgub jakarta nomor urut pramono anungrano karno temu eks gubernur dki jakarta anies baswedan tiga tertawa lepas temu diam anies;Netral
banyak sekali geram paska saksi cara ridwan kamil curi simpati warga jakarta sudut ahok debat salah contoh dukung simpatisan pks bela ahok rasa hasil kerja ahok padahal pks sama rk pilgub dki loh;Negatif
alhamdulillah insyaallah yakin;Positif
edukasi masyarakat penting;Positif
aliansi buruh labuh dukung mas pram bang doel makin optimis satu putar pramonorano;Positif
pilih paslon pashangatnya awet serasa pijit pijit;Positif
tutup ridwan kamil hadir tara adil  dapse;Netral
tetep mata najwa paling top dhe;Positif
jawab soal macet program baru ahok;Netral
sang eksekutor selamat warga jakarta ;Positif
tiap kali dgr jwban no serasa awan ga konkret trksn isi wkt menit isi soal ulang pnting isi;Negatif
dukung pramono anung usaha wujud jakarta lebih cerah adil sama buat ubah;Positif
calon gubernur pramono anung hadir acara temu jakarta catat masa depan jakarta ganara art space mal fx sudirman jakarta pusat rabu;Positif
tayang penuh debat agussylvi ahokdjarot aniessandi cagub saling serang via;Netral
nah nieh taman taman jakarta fungsi bagaimana mesti tags pak muh salah jepang;Negatif
deadlock bahas debat cagubcawagub materi iklan kampanye serah kpu;Negatif
paslon cagubcawagub nomor urut dharma pongrekun kun wardhana sampai visi misi debat tiga pilkada jakarta dharma kun bicara soal dampak pandemi covid saksi streaming debat pilkada jakarta;Netral
pasti seluruh ibu kerja beri asi eksklusif lama bulan cegah stunting pramono anung sedia daycare ruang laktasi posyandu;Positif
pramono anung hadir deklarasi konfederasi serikat kerja seluruh indonesia dukung pramdoel ratus buruh gabung konfederasi serikat kerja seluruh indonesia kspsi deklarasi dukung pasang pramonorano pilkada jakarta;Positif
optimis menang satu putar;Positif
hayo pilih mas pr vang doel ubtuk jakarta nyala jakarta lebih baik coblos no mas pram bang doel;Positif
wakil nya nomer bu sylvia kayak pajang kucing mobil toko china;Negatif
